"SUMLEV","REGION","DIVISION","STATE","NAME","SEX","AGE","ESTBASE2010_CIV","POPEST2010_CIV","POPEST2011_CIV","POPEST2012_CIV","POPEST2013_CIV","POPEST2014_CIV"
10,0,0,0,United States,0,0 - 9,40550170,40521284,40460865,40451670,40442926,40396449
10,0,0,0,United States,0,10 - 19,42647633,42597095,42316321,41987235,41782163,41670613
10,0,0,0,United States,0,20 - 29,42038957,42191828,42812246,43350266,43801050,44260108
10,0,0,0,United States,0,30 - 39,39809068,39813771,39810549,40099641,40594022,41098701
10,0,0,0,United States,0,40 - 49,43449590,43390431,43087164,42623017,41998221,41334837
10,0,0,0,United States,0,50 - 59,41943730,42128572,42829758,43369570,43780282,44061580
10,0,0,0,United States,0,60 - 69,29253194,29510723,30705248,31817675,32746273,33890892
10,0,0,0,United States,0,70 - 79,16596730,16656156,17000422,17513222,18304493,18995348
10,0,0,0,United States,0,80 - 89,11238929,11238929,11481409,11659623,11805533,11922597
10,0,0,0,United States,0,999,307528001,308111818,310503982,312871919,315254963,317631125
10,0,0,0,United States,1,0 - 9,20709127,20693642,20664474,20661319,20657231,20634157
10,0,0,0,United States,1,10 - 19,21825405,21801858,21659667,21475940,21348128,21278099
10,0,0,0,United States,1,20 - 29,21103630,21182972,21516434,21831336,22100305,22364988
10,0,0,0,United States,1,30 - 39,19753583,19758137,19763301,19918210,20182997,20451435
10,0,0,0,United States,1,40 - 49,21473102,21444679,21300348,21074987,20765515,20441677
10,0,0,0,United States,1,50 - 59,20441034,20531425,20878484,21147479,21355706,21504373
10,0,0,0,United States,1,60 - 69,13929922,14053045,14623045,15151869,15588470,16126605
10,0,0,0,United States,1,70 - 79,7426724,7460084,7637663,7894612,8279540,8611505
10,0,0,0,United States,1,80 - 89,4084611,4084611,4220355,4323031,4412547,4490681
10,0,0,0,United States,1,999,150747138,151042631,152263771,153478783,154690439,155903520
10,0,0,0,United States,2,0 - 9,19841043,19827642,19796391,19790351,19785695,19762292
10,0,0,0,United States,2,10 - 19,20822228,20795237,20656654,20511295,20434035,20392514
10,0,0,0,United States,2,20 - 29,20935327,21008856,21295812,21518930,21700745,21895120
10,0,0,0,United States,2,30 - 39,20055485,20055634,20047248,20181431,20411025,20647266
10,0,0,0,United States,2,40 - 49,21976488,21945752,21786816,21548030,21232706,20893160
10,0,0,0,United States,2,50 - 59,21502696,21597147,21951274,22222091,22424576,22557207
10,0,0,0,United States,2,60 - 69,15323272,15457678,16082203,16665806,17157803,17764287
