Region,Country,Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio,,,,,,,,
Custom Region,Germany,2010,999,81644454,40076301,41568153,100,100,100,96.4,,,,,,,,
Custom Region,Germany,2010,0,675273,346562,328711,0.8,0.9,0.8,105.4,,,,,,,,
Custom Region,Germany,2010,1,679565,348559,331006,0.8,0.9,0.8,105.3,,,,,,,,
Custom Region,Germany,2010,2,683756,350817,332939,0.8,0.9,0.8,105.4,,,,,,,,
Custom Region,Germany,2010,3,679803,349335,330468,0.8,0.9,0.8,105.7,,,,,,,,
Custom Region,Germany,2010,4,680833,349588,331245,0.8,0.9,0.8,105.5,,,,,,,,
Custom Region,Germany,2010,5,697374,357736,339638,0.9,0.9,0.8,105.3,,,,,,,,
Custom Region,Germany,2010,6,707146,362852,344294,0.9,0.9,0.8,105.4,,,,,,,,
Custom Region,Germany,2010,7,713908,366457,347451,0.9,0.9,0.8,105.5,,,,,,,,
Custom Region,Germany,2010,8,728436,374236,354200,0.9,0.9,0.9,105.7,,,,,,,,
Custom Region,Germany,2010,9,755706,387881,367825,0.9,1,0.9,105.5,,,,,,,,
Custom Region,Germany,2010,10,773758,396645,377113,0.9,1,0.9,105.2,,,,,,,,
Custom Region,Germany,2010,11,784733,402380,382353,1,1,0.9,105.2,,,,,,,,
Custom Region,Germany,2010,12,805281,413131,392150,1,1,0.9,105.4,,,,,,,,
Custom Region,Germany,2010,13,812097,416888,395209,1,1,1,105.5,,,,,,,,
Custom Region,Germany,2010,14,791924,406406,385518,1,1,0.9,105.4,,,,,,,,
Custom Region,Germany,2010,15,785339,402997,382342,1,1,0.9,105.4,,,,,,,,
Custom Region,Germany,2010,16,809720,415722,393998,1,1,0.9,105.5,,,,,,,,
Custom Region,Germany,2010,17,839262,430115,409147,1,1.1,1,105.1,,,,,,,,
Custom Region,Germany,2010,18,868404,444649,423755,1.1,1.1,1,104.9,,,,,,,,
Custom Region,Germany,2010,19,930277,475869,454408,1.1,1.2,1.1,104.7,,,,,,,,
Custom Region,Germany,2010,20,972818,496971,475847,1.2,1.2,1.1,104.4,,,,,,,,
Custom Region,Germany,2010,21,987382,504125,483257,1.2,1.3,1.2,104.3,,,,,,,,
Custom Region,Germany,2010,22,996352,509189,487163,1.2,1.3,1.2,104.5,,,,,,,,
Custom Region,Germany,2010,23,987839,503825,484014,1.2,1.3,1.2,104.1,,,,,,,,
Custom Region,Germany,2010,24,969706,492910,476796,1.2,1.2,1.1,103.4,,,,,,,,
Custom Region,Germany,2010,25,959307,486832,472475,1.2,1.2,1.1,103,,,,,,,,
Custom Region,Germany,2010,26,959835,486540,473295,1.2,1.2,1.1,102.8,,,,,,,,
Custom Region,Germany,2010,27,977289,494669,482620,1.2,1.2,1.2,102.5,,,,,,,,
Custom Region,Germany,2010,28,991425,500994,490431,1.2,1.3,1.2,102.2,,,,,,,,
Custom Region,Germany,2010,29,1003862,507296,496566,1.2,1.3,1.2,102.2,,,,,,,,
Custom Region,Germany,2010,30,986168,498217,487951,1.2,1.2,1.2,102.1,,,,,,,,
Custom Region,Germany,2010,31,955133,483284,471849,1.2,1.2,1.1,102.4,,,,,,,,
Custom Region,Germany,2010,32,948245,479940,468305,1.2,1.2,1.1,102.5,,,,,,,,
Custom Region,Germany,2010,33,939155,475604,463551,1.2,1.2,1.1,102.6,,,,,,,,
Custom Region,Germany,2010,34,921484,467063,454421,1.1,1.2,1.1,102.8,,,,,,,,
Custom Region,Germany,2010,35,915594,465152,450442,1.1,1.2,1.1,103.3,,,,,,,,
Custom Region,Germany,2010,36,929827,470747,459080,1.1,1.2,1.1,102.5,,,,,,,,
Custom Region,Germany,2010,37,981364,496913,484451,1.2,1.2,1.2,102.6,,,,,,,,
Custom Region,Germany,2010,38,1093762,556399,537363,1.3,1.4,1.3,103.5,,,,,,,,
Custom Region,Germany,2010,39,1176645,598232,578413,1.4,1.5,1.4,103.4,,,,,,,,
Custom Region,Germany,2010,40,1246027,633645,612382,1.5,1.6,1.5,103.5,,,,,,,,
Custom Region,Germany,2010,41,1326418,676124,650294,1.6,1.7,1.6,104,,,,,,,,
Custom Region,Germany,2010,42,1376051,701334,674717,1.7,1.7,1.6,103.9,,,,,,,,
Custom Region,Germany,2010,43,1409456,718882,690574,1.7,1.8,1.7,104.1,,,,,,,,
Custom Region,Germany,2010,44,1430902,732180,698722,1.8,1.8,1.7,104.8,,,,,,,,
Custom Region,Germany,2010,45,1449195,742849,706346,1.8,1.9,1.7,105.2,,,,,,,,
Custom Region,Germany,2010,46,1458130,746941,711189,1.8,1.9,1.7,105,,,,,,,,
Custom Region,Germany,2010,47,1428624,729758,698866,1.7,1.8,1.7,104.4,,,,,,,,
Custom Region,Germany,2010,48,1391166,706811,684355,1.7,1.8,1.6,103.3,,,,,,,,
Custom Region,Germany,2010,49,1357952,688063,669889,1.7,1.7,1.6,102.7,,,,,,,,
Custom Region,Germany,2010,50,1318798,668085,650713,1.6,1.7,1.6,102.7,,,,,,,,
Custom Region,Germany,2010,51,1265492,640830,624662,1.6,1.6,1.5,102.6,,,,,,,,
Custom Region,Germany,2010,52,1220481,617130,603351,1.5,1.5,1.5,102.3,,,,,,,,
Custom Region,Germany,2010,53,1191147,600530,590617,1.5,1.5,1.4,101.7,,,,,,,,
Custom Region,Germany,2010,54,1156302,580671,575631,1.4,1.4,1.4,100.9,,,,,,,,
Custom Region,Germany,2010,55,1128841,563578,565263,1.4,1.4,1.4,99.7,,,,,,,,
Custom Region,Germany,2010,56,1103433,547346,556087,1.4,1.4,1.3,98.4,,,,,,,,
Custom Region,Germany,2010,57,1087294,537710,549584,1.3,1.3,1.3,97.8,,,,,,,,
Custom Region,Germany,2010,58,1073241,529750,543491,1.3,1.3,1.3,97.5,,,,,,,,
Custom Region,Germany,2010,59,1063190,524557,538633,1.3,1.3,1.3,97.4,,,,,,,,
Custom Region,Germany,2010,60,1046173,516727,529446,1.3,1.3,1.3,97.6,,,,,,,,
Custom Region,Germany,2010,61,984504,486888,497616,1.2,1.2,1.2,97.8,,,,,,,,
Custom Region,Germany,2010,62,914013,451188,462825,1.1,1.1,1.1,97.5,,,,,,,,
Custom Region,Germany,2010,63,828402,407007,421395,1,1,1,96.6,,,,,,,,
Custom Region,Germany,2010,64,730048,356324,373724,0.9,0.9,0.9,95.3,,,,,,,,
Custom Region,Germany,2010,65,795216,385601,409615,1,1,1,94.1,,,,,,,,
Custom Region,Germany,2010,66,909892,440506,469386,1.1,1.1,1.1,93.8,,,,,,,,
Custom Region,Germany,2010,67,897829,433405,464424,1.1,1.1,1.1,93.3,,,,,,,,
Custom Region,Germany,2010,68,969051,464491,504560,1.2,1.2,1.2,92.1,,,,,,,,
Custom Region,Germany,2010,69,1079283,512886,566397,1.3,1.3,1.4,90.6,,,,,,,,
Custom Region,Germany,2010,70,1085844,511527,574317,1.3,1.3,1.4,89.1,,,,,,,,
Custom Region,Germany,2010,71,1026878,479405,547473,1.3,1.2,1.3,87.6,,,,,,,,
Custom Region,Germany,2010,72,946385,438075,508310,1.2,1.1,1.2,86.2,,,,,,,,
Custom Region,Germany,2010,73,886746,405213,481533,1.1,1,1.2,84.2,,,,,,,,
Custom Region,Germany,2010,74,843487,380595,462892,1,0.9,1.1,82.2,,,,,,,,
Custom Region,Germany,2010,75,782943,348708,434235,1,0.9,1,80.3,,,,,,,,
Custom Region,Germany,2010,76,666960,292921,374039,0.8,0.7,0.9,78.3,,,,,,,,
Custom Region,Germany,2010,77,577284,248801,328483,0.7,0.6,0.8,75.7,,,,,,,,
Custom Region,Germany,2010,78,562109,237795,324314,0.7,0.6,0.8,73.3,,,,,,,,
Custom Region,Germany,2010,79,561104,232846,328258,0.7,0.6,0.8,70.9,,,,,,,,
Custom Region,Germany,2010,80,544003,221780,322223,0.7,0.6,0.8,68.8,,,,,,,,
Custom Region,Germany,2010,81,506919,202761,304158,0.6,0.5,0.7,66.7,,,,,,,,
Custom Region,Germany,2010,82,458548,176119,282429,0.6,0.4,0.7,62.4,,,,,,,,
Custom Region,Germany,2010,83,410527,146358,264169,0.5,0.4,0.6,55.4,,,,,,,,
Custom Region,Germany,2010,84,375933,124035,251898,0.5,0.3,0.6,49.2,,,,,,,,
Custom Region,Germany,2010,85-89,1329575,376416,953159,1.6,0.9,2.3,39.5,,,,,,,,
Custom Region,Germany,2010,90-94,408246,100456,307790,0.5,0.3,0.7,32.6,,,,,,,,
Custom Region,Germany,2010,95-99,153827,32429,121398,0.2,0.1,0.3,26.7,,,,,,,,
Custom Region,Germany,2010,100+,24798,4537,20261,0,0,0,22.4,,,,,,,,
Custom Region,Germany,2011,999,81471834,40014040,41457794,100,100,100,96.5,,,,,,,,
Custom Region,Germany,2011,0,674413,346103,328310,0.8,0.9,0.8,105.4,,,,,,,,
Custom Region,Germany,2011,1,676126,347058,329068,0.8,0.9,0.8,105.5,,,,,,,,
Custom Region,Germany,2011,2,680480,349085,331395,0.8,0.9,0.8,105.3,,,,,,,,
Custom Region,Germany,2011,3,684721,351371,333350,0.8,0.9,0.8,105.4,,,,,,,,
Custom Region,Germany,2011,4,680796,349909,330887,0.8,0.9,0.8,105.7,,,,,,,,
Custom Region,Germany,2011,5,680886,349669,331217,0.8,0.9,0.8,105.6,,,,,,,,
Custom Region,Germany,2011,6,696496,357324,339172,0.9,0.9,0.8,105.4,,,,,,,,
Custom Region,Germany,2011,7,706275,362442,343833,0.9,0.9,0.8,105.4,,,,,,,,
Custom Region,Germany,2011,8,713036,366048,346988,0.9,0.9,0.8,105.5,,,,,,,,
Custom Region,Germany,2011,9,727563,373825,353738,0.9,0.9,0.9,105.7,,,,,,,,
Custom Region,Germany,2011,10,755218,387654,367564,0.9,1,0.9,105.5,,,,,,,,
Custom Region,Germany,2011,11,773707,396615,377092,0.9,1,0.9,105.2,,,,,,,,
Custom Region,Germany,2011,12,784680,402346,382334,1,1,0.9,105.2,,,,,,,,
Custom Region,Germany,2011,13,805222,413097,392125,1,1,0.9,105.3,,,,,,,,
Custom Region,Germany,2011,14,812016,416844,395172,1,1,1,105.5,,,,,,,,
Custom Region,Germany,2011,15,793122,406895,386227,1,1,0.9,105.4,,,,,,,,
Custom Region,Germany,2011,16,787613,403981,383632,1,1,0.9,105.3,,,,,,,,
Custom Region,Germany,2011,17,811944,416672,395272,1,1,1,105.4,,,,,,,,
Custom Region,Germany,2011,18,841413,431000,410413,1,1.1,1,105,,,,,,,,
Custom Region,Germany,2011,19,870503,445487,425016,1.1,1.1,1,104.8,,,,,,,,
Custom Region,Germany,2011,20,935017,477978,457039,1.1,1.2,1.1,104.6,,,,,,,,
Custom Region,Germany,2011,21,979808,500266,479542,1.2,1.3,1.2,104.3,,,,,,,,
Custom Region,Germany,2011,22,994373,507424,486949,1.2,1.3,1.2,104.2,,,,,,,,
Custom Region,Germany,2011,23,1003335,512478,490857,1.2,1.3,1.2,104.4,,,,,,,,
Custom Region,Germany,2011,24,994806,507105,487701,1.2,1.3,1.2,104,,,,,,,,
Custom Region,Germany,2011,25,973844,494957,478887,1.2,1.2,1.2,103.4,,,,,,,,
Custom Region,Germany,2011,26,961023,487710,473313,1.2,1.2,1.1,103,,,,,,,,
