NAME,SEX,AGE,POPEST2010_CIV,POPEST2011_CIV,POPEST2012_CIV,POPEST2013_CIV,POPEST2014_CIV
Germany,0,999,81644454,81471834,81305856,81147265,80996685
Germany,0,0,675273,674413,675135,676741,679383
Germany,0,1,679565,676126,675426,676145,677901
Germany,0,2,683756,680480,677203,676506,677372
Germany,0,3,679803,684721,681606,678326,677780
Germany,0,4,680833,680796,685874,682760,679627
Germany,0,5,697374,680886,680983,686310,683358
Germany,0,6,707146,696496,680123,680446,686187
Germany,0,7,713908,706275,695737,679593,680329
Germany,0,8,728436,713036,705518,695205,679476
Germany,0,9,755706,727563,712275,704985,695086
Germany,0,10,773758,755218,727135,712187,705341
Germany,0,11,784733,773707,755175,727379,712985
Germany,0,12,805281,784680,773658,755412,728176
Germany,0,13,812097,805222,784627,773891,756199
Germany,0,14,791924,812016,805146,784837,774661
Germany,0,15,785339,793122,813417,806517,787241
Germany,0,16,809720,787613,795802,816260,810076
Germany,0,17,839262,811944,790251,798607,819774
Germany,0,18,868404,841413,814514,792998,802065
Germany,0,19,930277,870503,843930,817211,796418
Germany,0,20,972818,935017,876063,849420,823270
Germany,0,21,987382,979808,943208,884588,858264
Germany,0,22,996352,994373,987987,951709,893421
Germany,0,23,987839,1003335,1002542,996467,960512
Germany,0,24,969706,994806,1011484,1011001,1005238
Germany,0,25,959307,973844,999684,1017363,1016591
Germany,0,26,959835,961023,975878,1002279,1020362
Germany,0,27,977289,961537,963047,978473,1005271
Germany,0,28,991425,978998,963575,965661,981490
Germany,0,29,1003862,993121,981021,966180,968675
Germany,0,30,986168,1004413,993880,982261,967501
Germany,0,31,955133,985714,1004031,993857,982219
Germany,0,32,948245,954669,985316,1003979,993784
Germany,0,33,939155,947768,954267,985253,1003881
Germany,0,34,921484,938648,947339,954188,985133
Germany,0,35,915594,920633,937851,946490,953527
Germany,0,36,929827,914405,919495,936641,945064
Germany,0,37,981364,928586,913225,918250,935175
Germany,0,38,1093762,980007,927324,911915,916728
